time	thread	event	node	message	data
21:49:14.593352	5237326	Stop	Histo-generating	7	0
21:49:14.593365	5237326	Start	Histo-generating	8	0
21:49:14.599760	5237322	Stop	Calibration[C]	24	1
21:49:14.599862	5237322	Start	Calibration[C]	25	13
21:49:14.603368	5237326	Stop	Histo-generating	8	0
21:49:14.603411	5237326	Start	Histo-generating	9	0
21:49:14.609873	5237322	Stop	Calibration[C]	25	13
21:49:14.609885	5237322	Start	Calibration[C]	26	1
21:49:14.613419	5237326	Stop	Histo-generating	9	0
21:49:14.613427	5237326	Start	Histo-generating	10	0
21:49:14.618823	5237321	Stop	Propagating	25	0
21:49:14.618844	5237321	Start	Propagating	34	0
21:49:14.619057	5237324	Stop	Propagating	27	0
21:49:14.619108	5237324	Start	Calibration[A]	20	13
21:49:14.619255	5237327	Stop	Propagating	26	0
21:49:14.619276	5237327	Start	Propagating	35	0
21:49:14.619524	5237328	Stop	Propagating	47	0
21:49:14.619547	5237328	Start	Propagating	46	0
21:49:14.619558	5237319	Stop	Propagating	28	0
21:49:14.619590	5237319	Start	Propagating	36	0
21:49:14.619886	5237322	Stop	Calibration[C]	26	1
21:49:14.619893	5237322	Start	Calibration[B]	19	1
21:49:14.620681	5237312	Stop	Propagating	29	0
21:49:14.620711	5237312	Start	Propagating	37	0
21:49:14.623429	5237326	Stop	Histo-generating	10	0
21:49:14.623441	5237326	Start	Histo-generating	11	0
21:49:14.628844	5237318	Stop	Propagating	30	0
21:49:14.628851	5237318	Start	Propagating	38	0
21:49:14.629116	5237324	Stop	Calibration[A]	20	13
21:49:14.629126	5237324	Start	Calibration[C]	27	13
21:49:14.629870	5237320	Stop	Propagating	31	0
21:49:14.629895	5237322	Stop	Calibration[B]	19	1
21:49:14.630028	5237320	Start	Propagating	39	0
21:49:14.630035	5237322	Start	Calibration[A]	21	1
21:49:14.633444	5237326	Stop	Histo-generating	11	0
21:49:14.633474	5237326	Start	Histo-generating	12	0
21:49:14.636249	5237323	Stop	Propagating	32	0
21:49:14.636268	5237323	Start	Propagating	40	0
